#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2017,1,4,10,50,70,9.1,10.5,2.1,11.43,5.97,357,1013.9,25.9,26.9,20.8,99,99
2017,1,4,11,50,68,8.7,10.3,2.16,8.33,5.83,75,1014.7,26.2,26.9,20.6,99,99
2017,1,4,12,50,68,9.1,10.5,2,7.14,5.77,59,1015,26.2,26.9,21.1,99,99
2017,1,4,13,50,74,8.6,10.2,2.1,5.88,5.74,85,1015.3,26.3,26.9,20.8,99,99
2017,1,4,14,50,71,8.5,9.8,2.05,5.56,5.68,87,1014.8,26.2,26.9,21.2,99,99
2017,1,4,15,50,74,8.8,10.3,1.99,10.81,5.47,2,1014.1,26.2,27,21.1,99,99
2017,1,4,16,50,79,8.3,10,2.07,6.67,5.67,89,1013.7,26.2,27,21,99,99
2017,1,4,17,50,82,8.2,9.7,1.93,8.33,5.74,60,1013.2,26.3,27,20.6,99,99
2017,1,4,18,50,76,7.6,8.8,2.05,7.14,5.91,90,1013.2,26.4,27,20.7,99,99
2017,1,4,19,50,76,8.2,9.8,2,10.81,5.93,14,1013,26.3,27,21,99,99
2017,1,4,20,50,77,7.8,9.3,2,6.25,5.84,74,1013.3,26.2,27,21.1,99,99
2017,1,4,21,50,83,8,9.4,1.79,6.67,5.67,89,1013.6,26.2,26.9,21.3,99,99
2017,1,4,22,50,85,8.4,9.7,1.97,8.33,5.87,47,1014.1,26.3,26.9,21.1,99,99
2017,1,4,23,50,73,8.4,10.1,1.89,6.67,5.71,96,1014.7,26.3,26.9,21.9,99,99
2017,1,5,0,50,73,9,10.2,1.85,7.14,5.51,80,1014.9,26.3,26.9,21.6,99,99
2017,1,5,1,50,72,8.5,10.5,1.86,5.88,5.48,87,1015,26.3,26.9,21.6,99,99
2017,1,5,2,50,74,8.6,10.2,1.98,8.33,5.73,66,1014.6,26.2,26.9,22,99,99
2017,1,5,3,50,75,8.9,10.1,1.95,6.67,5.73,82,1013.9,26.2,26.9,22,99,99
2017,1,5,4,50,66,8.7,10.3,2.03,10.81,5.77,44,1013.3,26.1,26.9,22.3,99,99
2017,1,5,5,50,65,8.8,10.5,2.03,10.81,5.72,32,1012.7,26,26.9,22.4,99,99
2017,1,5,6,50,76,9.4,11.3,2,10,5.63,19,1012.8,26.3,26.9,21.8,99,99
2017,1,5,7,50,71,9,11.1,2,6.25,5.71,90,1012.7,26.3,26.9,22.1,99,99
2017,1,5,8,50,63,9,10.4,2.03,6.67,5.6,92,1013.1,26.2,26.9,22.1,99,99
2017,1,5,9,50,71,9.4,11.5,2.12,6.25,5.77,94,1013.3,26.2,26.9,22.2,99,99
2017,1,5,10,50,63,8.5,10.7,2.15,6.67,5.74,91,1014.5,26.4,26.9,22.3,99,99
2017,1,5,11,50,69,9.4,11.5,2.11,7.14,5.72,96,1014.7,26.4,26.9,22.2,99,99
